GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scientificcalculator,com.kabir.scientificcalculator,CalculatorAdvancedOperations,0,28,0,0,0,9,0,9,0,9
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},0,29,0,0,0,5,0,2,0,2
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},0,28,0,0,0,6,0,2,0,2
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new Runnable() {...},17,0,0,0,7,0,2,0,2,0
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},1,6,0,0,1,2,1,1,1,1
scientificcalculator,com.kabir.scientificcalculator,CalculatorBasicOperations,0,19,0,0,0,5,0,5,0,5
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},6,6,0,0,2,2,1,1,1,1
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},20,9,0,0,3,2,1,1,1,1
scientificcalculator,com.kabir.scientificcalculator,SciCalculator,8,562,0,20,3,97,2,23,2,13
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},0,41,1,1,0,9,1,2,0,2
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},0,174,1,7,0,20,1,5,0,2
scientificcalculator,com.kabir.scientificcalculator,SciCalculator.new ActionListener() {...},28,179,13,18,3,33,12,10,0,2
